account_id,company_name,industry,tier,arr,renewal_date,days_to_renewal,health_score,login_drop_rate,support_tickets,resolution_time_hours,payment_failures,nps_score,license_utilization,storage_utilization,feature_usage_score,churn_risk_label,upsell_opportunity_label,last_contact_date
ACC-1043,Company-1043,Manufacturing,Basic,8000,2026-04-03,61,91,0.1,2,39,0,8,0.19,1.0,48,0,1,2026-01-03
ACC-1044,Company-1044,Technology,Enterprise,184718,2026-08-31,211,71,0.3,7,5,0,5,0.26,0.21,71,1,0,2026-01-09
ACC-1045,Company-1045,Healthcare,Basic,7148,2026-07-26,175,100,0.0,0,2,0,10,0.99,0.81,64,0,1,2026-01-07
ACC-1046,Company-1046,Retail,Enterprise,240779,2026-04-26,84,73,0.38,4,16,0,9,0.38,0.73,91,0,0,2026-01-29
ACC-1047,Company-1047,Finance,Enterprise,173993,2026-01-06,-26,86,0.28,0,36,0,5,0.77,0.67,82,0,0,2026-01-05
ACC-1048,Company-1048,Technology,Pro,42547,2026-06-01,120,83,0.11,6,31,0,4,0.91,0.23,25,1,0,2026-01-18
ACC-1049,Company-1049,Healthcare,Pro,25214,2026-06-28,147,82,0.24,3,14,0,5,0.62,0.82,19,0,1,2026-01-24
ACC-1050,Company-1050,Manufacturing,Basic,9305,2026-11-05,277,96,0.05,1,43,0,9,0.61,0.25,71,0,0,2025-12-10
ACC-1051,Company-1051,Technology,Enterprise,212162,2027-01-31,364,72,0.24,8,18,0,8,0.87,0.96,94,0,1,2026-01-01
ACC-1052,Company-1052,Finance,Pro,27879,2026-06-14,133,81,0.3,2,28,0,5,0.17,0.47,68,0,0,2025-12-12
ACC-1053,Company-1053,Healthcare,Pro,30912,2026-10-22,263,72,0.33,6,28,0,5,0.92,0.15,34,1,0,2025-12-30
ACC-1054,Company-1054,Manufacturing,Basic,12600,2026-05-14,102,81,0.15,6,36,0,10,0.91,0.2,12,0,1,2025-12-26
ACC-1055,Company-1055,Manufacturing,Enterprise,182538,2026-07-08,157,92,0.08,2,32,0,10,0.18,0.99,11,0,1,2025-12-29
ACC-1056,Company-1056,Technology,Enterprise,83499,2026-10-01,242,70,0.45,4,38,0,6,0.29,0.75,22,0,0,2026-01-09
ACC-1057,Company-1057,Healthcare,Pro,21882,2026-05-07,95,81,0.11,7,34,0,4,0.29,0.89,37,1,0,2026-01-20
ACC-1058,Company-1058,Manufacturing,Basic,8050,2026-04-29,87,74,0.2,8,18,0,6,0.62,0.16,57,0,0,2026-01-11
ACC-1059,Company-1059,Technology,Enterprise,110204,2027-01-28,361,78,0.16,7,40,0,4,0.65,1.0,56,1,0,2026-01-19
ACC-1060,Company-1060,Healthcare,Basic,16443,2026-04-27,85,84,0.33,0,30,0,8,0.19,0.14,39,0,0,2025-12-23
ACC-1061,Company-1061,Finance,Enterprise,242391,2026-08-19,199,85,0.19,3,20,0,6,0.94,0.29,70,0,1,2026-01-26
ACC-1062,Company-1062,Technology,Basic,11713,2026-11-04,276,81,0.26,3,35,0,4,0.3,0.4,17,0,0,2026-01-28
ACC-1063,Company-1063,Healthcare,Basic,18920,2026-11-22,294,83,0.03,8,29,0,7,0.26,0.93,49,0,1,2026-01-20
ACC-1064,Company-1064,Technology,Enterprise,230235,2027-01-08,341,80,0.29,3,26,0,8,0.38,0.93,71,0,1,2026-01-22
ACC-1065,Company-1065,Retail,Pro,25233,2026-09-05,216,74,0.36,4,40,0,5,0.78,0.2,31,0,0,2026-01-28
ACC-1066,Company-1066,Healthcare,Basic,12355,2026-07-11,160,89,0.1,3,19,0,8,0.72,0.77,19,0,1,2025-12-23
ACC-1067,Company-1067,Finance,Enterprise,208018,2026-09-10,221,93,0.03,3,47,0,4,0.91,0.74,48,0,1,2025-12-09
ACC-1068,Company-1068,Healthcare,Basic,8877,2026-09-20,231,93,0.03,3,32,0,6,0.13,0.39,63,0,0,2025-12-16
ACC-1069,Company-1069,Manufacturing,Enterprise,133909,2026-04-25,83,74,0.48,1,10,0,10,0.24,0.93,69,0,1,2026-01-29
ACC-1070,Company-1070,Manufacturing,Pro,40090,2026-07-28,177,90,0.01,5,28,0,9,0.66,0.11,14,0,0,2025-12-26
ACC-1071,Company-1071,Technology,Basic,15366,2026-11-22,294,68,0.45,5,4,0,5,0.13,0.66,58,1,0,2025-12-14
ACC-1072,Company-1072,Retail,Pro,46289,2026-12-22,324,91,0.18,0,16,0,9,0.93,0.71,33,0,1,2025-12-14
ACC-1073,Company-1073,Manufacturing,Enterprise,221555,2026-02-17,16,85,0.22,2,33,0,5,0.62,0.61,75,0,0,2025-12-11
ACC-1074,Company-1074,Healthcare,Pro,24286,2026-01-03,-29,87,0.15,3,37,0,4,0.41,0.69,19,0,0,2025-12-20
ACC-1075,Company-1075,Healthcare,Enterprise,130434,2026-02-20,19,76,0.24,6,8,0,6,0.39,0.31,72,0,0,2025-12-26
ACC-1076,Company-1076,Technology,Basic,17713,2026-04-07,65,79,0.3,3,39,0,9,0.38,0.67,86,0,0,2026-01-21
ACC-1077,Company-1077,Manufacturing,Enterprise,225640,2026-03-20,47,77,0.3,4,26,0,8,0.31,0.77,83,0,1,2025-12-05
ACC-1078,Company-1078,Retail,Basic,16100,2026-07-27,176,84,0.32,0,17,0,5,0.34,0.57,78,0,0,2026-01-22
ACC-1079,Company-1079,Retail,Pro,26850,2026-06-17,136,79,0.39,1,12,0,8,0.52,0.29,81,0,0,2026-01-08
ACC-1080,Company-1080,Manufacturing,Basic,16803,2026-09-03,214,74,0.32,5,17,0,7,0.38,0.45,45,0,0,2026-01-27
ACC-1081,Company-1081,Manufacturing,Basic,14062,2026-01-07,-25,79,0.11,8,23,0,8,0.4,0.19,70,0,0,2026-01-30
ACC-1082,Company-1082,Finance,Pro,29067,2026-05-23,111,84,0.12,5,27,0,4,0.21,0.79,74,0,1,2025-12-05
ACC-1083,Company-1083,Finance,Basic,17883,2026-07-20,169,65,0.47,6,36,0,5,0.61,0.74,72,1,0,2025-12-30
ACC-1084,Company-1084,Retail,Basic,11753,2026-10-21,262,83,0.27,2,24,0,9,0.77,0.84,88,0,1,2026-01-26
ACC-1085,Company-1085,Finance,Enterprise,152829,2026-02-08,7,71,0.31,7,31,0,5,0.23,0.58,81,1,0,2026-01-25
ACC-1086,Company-1086,Finance,Basic,14681,2026-03-17,44,74,0.45,2,13,0,8,0.82,0.26,27,0,1,2026-01-24
ACC-1087,Company-1087,Manufacturing,Enterprise,145525,2026-06-28,147,77,0.46,0,12,0,7,0.41,0.99,33,0,1,2026-01-30
ACC-1088,Company-1088,Finance,Pro,27809,2026-12-24,326,90,0.16,1,13,0,9,0.53,0.73,15,0,0,2026-01-21
ACC-1089,Company-1089,Healthcare,Basic,16008,2026-10-29,270,85,0.3,0,32,0,10,0.87,0.96,100,0,1,2025-12-31
ACC-1090,Company-1090,Manufacturing,Enterprise,67400,2026-03-18,45,85,0.22,2,18,0,7,0.13,0.2,50,0,0,2026-01-04
ACC-1091,Company-1091,Manufacturing,Pro,21837,2026-09-14,225,86,0.16,3,48,0,6,0.13,0.12,65,0,0,2025-12-20
ACC-1092,Company-1092,Manufacturing,Basic,5729,2026-08-13,193,56,0.32,4,29,1,4,0.89,0.24,43,1,0,2026-01-25
ACC-1093,Company-1093,Retail,Enterprise,182114,2026-08-29,209,82,0.36,0,32,0,7,0.33,0.24,43,0,0,2025-12-06
ACC-1094,Company-1094,Healthcare,Basic,17632,2026-11-27,299,86,0.04,6,19,0,6,0.13,0.85,40,0,1,2026-01-15
ACC-1095,Company-1095,Manufacturing,Basic,19490,2026-08-11,191,82,0.05,8,36,0,5,0.55,0.74,87,1,0,2026-01-09
ACC-1096,Company-1096,Finance,Enterprise,54485,2026-08-09,189,83,0.18,4,19,0,4,0.17,0.52,63,0,0,2026-01-29
ACC-1097,Company-1097,Technology,Basic,5625,2026-03-21,48,87,0.06,5,46,0,7,0.61,0.18,82,0,0,2026-01-26
ACC-1098,Company-1098,Healthcare,Basic,18695,2026-09-28,239,71,0.35,6,12,0,8,0.66,0.44,51,0,0,2025-12-12
ACC-1099,Company-1099,Technology,Enterprise,242491,2026-07-25,174,87,0.27,0,40,0,9,0.89,0.35,32,0,1,2025-12-07
ACC-1100,Company-1100,Healthcare,Enterprise,78069,2026-12-12,314,75,0.35,4,23,0,6,0.54,0.79,51,0,1,2026-01-13
ACC-1101,Company-1101,Manufacturing,Enterprise,80567,2026-07-07,156,98,0.01,1,46,0,9,0.48,0.71,48,0,0,2025-12-16
ACC-1102,Company-1102,Manufacturing,Pro,23300,2026-08-27,207,80,0.21,5,28,0,10,0.96,0.7,48,0,1,2025-12-16
ACC-1103,Company-1103,Healthcare,Enterprise,138176,2026-03-31,58,70,0.32,7,7,0,8,0.63,0.89,16,0,1,2026-01-30
ACC-1104,Company-1104,Retail,Basic,17596,2026-07-09,158,62,0.44,8,32,0,8,0.96,0.93,81,1,0,2025-12-21
ACC-1105,Company-1105,Finance,Enterprise,170087,2026-05-31,119,78,0.36,2,28,0,6,0.67,0.56,36,0,0,2026-01-22
ACC-1106,Company-1106,Healthcare,Basic,8159,2026-01-21,-11,89,0.02,5,38,0,7,0.2,0.22,97,0,0,2026-01-17
ACC-1107,Company-1107,Retail,Enterprise,209003,2026-05-08,96,90,0.04,4,11,0,7,0.61,0.88,44,0,1,2026-01-04
ACC-1108,Company-1108,Retail,Enterprise,222004,2026-05-25,113,89,0.14,2,22,0,6,0.9,0.12,26,0,1,2025-12-03
ACC-1109,Company-1109,Manufacturing,Basic,18942,2026-07-01,150,89,0.23,0,36,0,6,0.7,0.98,21,0,1,2025-12-25
ACC-1110,Company-1110,Healthcare,Pro,21429,2026-02-12,11,81,0.23,4,23,0,10,0.77,0.34,45,0,0,2025-12-29
ACC-1111,Company-1111,Technology,Enterprise,136376,2026-09-12,223,100,0.0,0,42,0,7,0.38,0.32,52,0,0,2025-12-09
ACC-1112,Company-1112,Healthcare,Pro,42196,2026-05-06,94,73,0.3,6,25,0,8,0.7,0.32,17,0,0,2025-12-14
ACC-1113,Company-1113,Manufacturing,Basic,9016,2026-09-19,230,76,0.4,2,5,0,8,0.41,0.43,55,0,0,2026-01-14
ACC-1114,Company-1114,Healthcare,Pro,38051,2026-10-22,263,73,0.39,4,30,0,5,0.46,0.58,85,0,0,2025-12-22
ACC-1115,Company-1115,Manufacturing,Basic,18270,2026-12-17,319,71,0.46,3,25,0,10,0.27,0.73,28,0,0,2025-12-25
ACC-1116,Company-1116,Technology,Enterprise,85720,2026-09-03,214,88,0.25,0,46,0,4,0.33,0.32,68,0,0,2025-12-17
ACC-1117,Company-1117,Technology,Pro,32172,2026-03-03,30,92,0.12,1,11,0,8,0.7,0.43,43,0,0,2026-01-04
ACC-1118,Company-1118,Retail,Pro,23601,2026-02-07,6,89,0.07,4,25,0,10,0.85,0.31,12,0,1,2026-01-29
ACC-1119,Company-1119,Technology,Pro,36632,2026-02-17,16,80,0.28,3,39,0,10,0.5,0.65,72,0,0,2026-01-28
ACC-1120,Company-1120,Healthcare,Basic,9727,2026-02-18,17,90,0.0,5,35,0,6,0.22,0.94,86,0,1,2026-01-01
ACC-1121,Company-1121,Manufacturing,Pro,47245,2026-10-28,269,79,0.35,2,43,0,7,0.99,0.31,31,0,1,2026-01-29
ACC-1122,Company-1122,Finance,Pro,36669,2026-11-15,287,71,0.34,6,47,0,4,0.23,0.72,87,1,0,2026-01-13
ACC-1123,Company-1123,Retail,Enterprise,231139,2026-07-15,164,71,0.46,3,7,0,5,0.64,0.3,50,1,0,2026-01-18
ACC-1124,Company-1124,Manufacturing,Pro,46943,2026-12-24,326,72,0.45,3,17,0,4,0.34,0.21,27,1,0,2026-01-22
ACC-1125,Company-1125,Manufacturing,Pro,41392,2027-01-13,346,57,0.22,6,41,1,9,0.98,0.75,87,1,0,2025-12-23
ACC-1126,Company-1126,Manufacturing,Basic,15296,2026-03-14,41,81,0.14,6,40,0,7,0.97,0.63,56,0,1,2026-01-15
ACC-1127,Company-1127,Finance,Enterprise,217325,2026-03-29,56,68,0.36,7,21,0,9,0.81,0.67,84,0,1,2025-12-31
ACC-1128,Company-1128,Healthcare,Enterprise,212230,2026-10-10,251,62,0.49,7,41,0,7,0.9,0.93,13,1,0,2026-01-09
ACC-1129,Company-1129,Finance,Enterprise,131912,2026-12-09,311,77,0.34,3,25,0,7,0.78,0.55,37,0,0,2026-01-18
ACC-1130,Company-1130,Technology,Enterprise,210451,2026-03-19,46,78,0.17,7,10,0,8,0.51,0.36,96,0,0,2026-01-10
ACC-1131,Company-1131,Healthcare,Enterprise,214320,2026-08-23,203,68,0.4,6,11,0,10,0.87,0.5,44,0,1,2026-01-16
ACC-1132,Company-1132,Healthcare,Basic,18844,2026-05-04,92,89,0.03,5,46,0,4,0.75,0.32,91,0,0,2026-01-11
ACC-1133,Company-1133,Healthcare,Enterprise,140268,2026-11-26,298,90,0.13,2,35,0,9,0.78,0.8,20,0,1,2026-01-17
ACC-1134,Company-1134,Healthcare,Enterprise,141767,2026-03-20,47,84,0.29,1,19,0,8,0.31,0.92,53,0,1,2025-12-16
ACC-1135,Company-1135,Healthcare,Enterprise,159068,2027-01-24,357,43,0.46,7,37,1,5,0.81,0.3,18,1,0,2025-12-29
ACC-1136,Company-1136,Retail,Enterprise,65606,2026-08-20,200,87,0.27,0,15,0,10,0.55,0.48,61,0,0,2025-12-11
ACC-1137,Company-1137,Retail,Pro,28849,2026-02-09,8,78,0.24,5,47,0,4,0.22,0.75,71,0,0,2025-12-08
ACC-1138,Company-1138,Finance,Basic,8020,2026-03-20,47,84,0.05,7,10,0,8,0.59,0.47,86,0,0,2025-12-18
ACC-1139,Company-1139,Manufacturing,Pro,35610,2026-04-22,80,90,0.05,4,7,0,9,0.76,0.25,46,0,0,2026-01-25
ACC-1140,Company-1140,Manufacturing,Pro,26704,2026-04-11,69,67,0.47,5,2,0,5,0.38,0.2,54,1,0,2026-01-28
ACC-1141,Company-1141,Retail,Basic,13668,2026-02-12,11,91,0.06,3,5,0,5,0.69,0.37,63,0,0,2025-12-26
ACC-1142,Company-1142,Retail,Pro,26683,2026-12-04,306,87,0.22,1,7,0,10,0.45,0.43,53,0,0,2025-12-21
ACC-1143,Company-1143,Healthcare,Pro,27057,2026-08-15,195,77,0.38,2,24,0,4,0.32,0.55,67,0,0,2025-12-26
ACC-1144,Company-1144,Finance,Pro,27846,2026-01-20,-12,71,0.34,6,31,0,4,0.15,0.65,27,1,0,2025-12-16
ACC-1145,Company-1145,Healthcare,Enterprise,93776,2026-10-11,252,85,0.14,4,22,0,6,0.61,0.45,12,0,0,2026-01-09
ACC-1146,Company-1146,Finance,Enterprise,179523,2026-10-04,245,78,0.44,0,39,0,4,0.86,0.97,74,1,0,2026-01-03
ACC-1147,Company-1147,Retail,Basic,11873,2026-09-03,214,65,0.42,7,25,0,9,0.37,0.23,28,1,0,2026-01-08
ACC-1148,Company-1148,Healthcare,Pro,43380,2026-09-17,228,81,0.3,2,47,0,6,0.44,0.24,71,0,0,2025-12-10
ACC-1149,Company-1149,Retail,Basic,16749,2026-08-03,183,83,0.19,4,19,0,8,0.84,0.67,38,0,1,2026-01-24
ACC-1150,Company-1150,Manufacturing,Basic,15320,2026-11-06,278,84,0.17,4,8,0,7,0.69,0.57,65,0,0,2026-01-04
ACC-1151,Company-1151,Manufacturing,Pro,39637,2026-07-06,155,89,0.14,2,36,0,7,0.73,0.19,71,0,0,2026-01-09
ACC-1152,Company-1152,Manufacturing,Pro,30453,2026-09-03,214,86,0.21,2,35,0,5,0.87,0.54,95,0,1,2026-01-06
ACC-1153,Company-1153,Manufacturing,Basic,12949,2026-04-10,68,83,0.06,7,27,0,10,0.55,0.74,98,0,0,2025-12-17
ACC-1154,Company-1154,Technology,Basic,9173,2026-10-14,255,74,0.45,2,39,0,6,0.94,0.64,76,0,1,2026-01-06
ACC-1155,Company-1155,Finance,Basic,9680,2026-09-10,221,91,0.14,1,43,0,10,0.22,0.71,90,0,0,2026-01-29
ACC-1156,Company-1156,Retail,Basic,8201,2026-11-11,283,93,0.11,1,29,0,4,0.87,0.24,95,0,1,2026-01-06
ACC-1157,Company-1157,Healthcare,Basic,16493,2026-03-29,56,81,0.38,0,45,0,7,0.27,0.2,71,0,0,2026-01-20
ACC-1158,Company-1158,Finance,Basic,17943,2026-08-17,197,87,0.18,2,6,0,4,0.48,0.48,99,0,0,2025-12-09
ACC-1159,Company-1159,Healthcare,Enterprise,222188,2026-07-21,170,73,0.46,2,35,0,8,0.62,0.85,11,0,1,2025-12-12
ACC-1160,Company-1160,Finance,Basic,6462,2027-01-27,360,89,0.14,2,35,0,4,0.25,0.3,20,0,0,2025-12-04
ACC-1161,Company-1161,Retail,Basic,19937,2026-07-18,167,67,0.34,8,5,0,6,0.47,0.99,90,0,1,2025-12-14
ACC-1162,Company-1162,Retail,Pro,42520,2027-01-13,346,65,0.43,7,10,0,10,0.65,0.2,21,1,0,2026-01-18
ACC-1163,Company-1163,Retail,Enterprise,237919,2026-06-24,143,89,0.03,5,12,0,7,0.59,0.39,52,0,0,2025-12-24
ACC-1164,Company-1164,Manufacturing,Enterprise,142017,2026-03-26,53,94,0.04,2,39,0,8,0.52,0.22,93,0,0,2025-12-14
ACC-1165,Company-1165,Technology,Enterprise,182631,2026-11-09,281,75,0.5,0,15,0,5,0.13,0.44,92,1,0,2025-12-22
ACC-1166,Company-1166,Finance,Pro,25519,2026-03-10,37,85,0.06,6,31,0,9,0.6,0.98,89,0,1,2025-12-18
ACC-1167,Company-1167,Finance,Pro,25795,2026-11-30,302,77,0.43,1,15,0,8,0.2,0.92,44,0,1,2025-12-18
ACC-1168,Company-1168,Healthcare,Pro,44044,2027-01-28,361,79,0.38,1,40,0,7,0.74,0.4,38,0,0,2026-01-12
ACC-1169,Company-1169,Retail,Basic,6439,2026-03-20,47,76,0.2,7,36,0,5,0.8,0.2,27,1,0,2025-12-09
ACC-1170,Company-1170,Finance,Pro,39895,2026-05-29,117,85,0.18,3,33,0,5,0.4,0.63,43,0,0,2025-12-04
ACC-1171,Company-1171,Finance,Pro,27970,2026-06-23,142,64,0.45,7,20,0,5,0.61,0.64,29,1,0,2026-01-06
ACC-1172,Company-1172,Healthcare,Enterprise,94309,2026-08-13,193,94,0.01,3,39,0,5,0.61,0.56,96,0,0,2026-01-09
ACC-1173,Company-1173,Manufacturing,Pro,39945,2026-02-07,6,85,0.22,2,44,0,8,0.5,0.48,44,0,0,2025-12-12
ACC-1174,Company-1174,Healthcare,Enterprise,173513,2026-10-28,269,84,0.25,2,17,0,7,0.22,0.97,71,0,1,2025-12-15
ACC-1175,Company-1175,Manufacturing,Basic,14917,2026-03-01,28,98,0.01,1,36,0,4,0.45,0.98,59,0,1,2025-12-20
ACC-1176,Company-1176,Retail,Enterprise,123416,2026-04-11,69,80,0.16,6,25,0,10,0.13,0.34,32,0,0,2026-01-14
ACC-1177,Company-1177,Manufacturing,Enterprise,89093,2026-05-11,99,73,0.43,3,39,0,9,0.5,0.76,10,0,1,2026-01-10
ACC-1178,Company-1178,Retail,Basic,5190,2026-06-15,134,59,0.11,8,23,1,5,0.81,0.97,21,1,0,2026-01-21
ACC-1179,Company-1179,Manufacturing,Enterprise,157345,2026-04-29,87,82,0.09,7,27,0,8,0.49,0.66,49,0,0,2025-12-19
ACC-1180,Company-1180,Technology,Pro,46303,2026-12-31,333,83,0.02,8,31,0,7,0.27,0.88,19,0,1,2025-12-13
ACC-1181,Company-1181,Manufacturing,Basic,13946,2026-07-22,171,67,0.46,5,43,0,10,0.22,0.81,16,0,1,2025-12-19
ACC-1182,Company-1182,Healthcare,Basic,12076,2026-08-22,202,66,0.37,8,7,0,8,0.59,0.38,41,0,0,2025-12-10
ACC-1183,Company-1183,Manufacturing,Pro,37974,2026-05-24,112,68,0.48,4,22,0,9,0.67,0.88,19,0,1,2026-01-14
ACC-1184,Company-1184,Retail,Enterprise,180282,2026-06-08,127,94,0.08,1,41,0,7,0.43,0.41,73,0,0,2025-12-26
ACC-1185,Company-1185,Healthcare,Enterprise,222438,2026-09-21,232,79,0.19,6,26,0,7,0.26,0.64,75,0,0,2025-12-25
ACC-1186,Company-1186,Retail,Pro,31783,2026-08-20,200,78,0.44,0,17,0,10,0.87,0.92,46,0,1,2025-12-30
ACC-1187,Company-1187,Healthcare,Pro,39855,2026-05-05,93,72,0.28,7,46,0,6,0.54,0.3,34,0,0,2025-12-06
ACC-1188,Company-1188,Technology,Enterprise,221302,2026-11-17,289,85,0.3,0,5,0,10,0.5,0.23,39,0,0,2025-12-17
ACC-1189,Company-1189,Manufacturing,Enterprise,215039,2026-09-01,212,72,0.29,7,46,0,7,0.55,0.89,76,0,1,2025-12-19
ACC-1190,Company-1190,Healthcare,Basic,17602,2026-01-11,-21,85,0.02,7,14,0,9,0.44,0.55,67,0,0,2026-01-24
ACC-1191,Company-1191,Retail,Enterprise,242021,2027-01-17,350,77,0.18,7,34,0,8,0.99,0.51,55,0,1,2026-01-25
ACC-1192,Company-1192,Retail,Enterprise,214592,2026-09-28,239,74,0.45,2,25,0,5,0.98,0.48,75,1,0,2026-01-30
ACC-1193,Company-1193,Technology,Pro,23739,2026-08-31,211,60,0.49,8,36,0,8,0.39,0.43,20,1,0,2025-12-18
ACC-1194,Company-1194,Retail,Enterprise,168434,2026-08-04,184,72,0.49,2,41,0,7,0.65,0.62,36,0,0,2026-01-06
ACC-1195,Company-1195,Technology,Pro,43576,2026-03-09,36,89,0.14,2,29,0,9,0.59,0.97,72,0,1,2025-12-29
